Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,138.2,1896,48.6,1997,143.3,1896,0.0,1880,0.0,1900,T (2),1980
2,95.7,2022 E,46.0,1999 PL,123.0,2022 U,0.0,1907,0.0,1906,0.8,1987
3,90.4,1878,44.5,1872,98.3,1986,T (1),2018,0.0,1925,0.8,1988
4,89.7,1963,42.6,2022,98.0,1878,T (2),1980,0.0,1944,1.7,2018
5,86.3,1986,40.9,1950,90.4,1894,0.4,1988,0.0,1980,2.0,1949
6,70.6,1924,38.4,1996,90.4,1963,0.5,1926,0.0,1998,3.8,1873
7,64.8,1879,37.6,1893,89.4,1924,0.8,1987,T (1),1898,4.1,1926
8,64.5,1894,37.1,1966,79.3,1991,1.9,1995,T (1),1915,4.4,2000
9,56.9,1967,36.8,1909,76.6,1997,2.0,1949,T (1),1955,5.2,1977
10,55.9,1942,35.1,1970,73.5,1979,2.3,1936,T (1),1987,5.6,1917
11,54.9,1927,33.8,1953,72.6,1967,2.5,1873,T (1),1993,6.3,1983
12,52.6,1948,33.0,1884,70.6,1879,2.5,1950,T (1),2006,6.4,1905
13,51.8,1954,32.0,1937,70.1,1954,2.5,1983,T (1),2012,6.4,1956
14,50.0,1974,30.2,2003,68.3,1884,3.2,2000,T (2),1876,7.1,1943
15,49.0,1911,29.8,2020,67.1,1937,3.3,1905,T (2),1885 E,7.6,1900
16,47.8,1979,29.7,1892,65.3,1911,3.3,1909,T (2),1886 O,7.6,1916
17,47.0,1991,27.2,1910,65.3,1970,3.6,1882,T (2),1895,7.6,1920
18,46.5,1901,25.9,1894,64.8,1892,3.6,1917,T (2),1969,7.6,1952
19,46.2,1885,25.1,1907,64.8,1965,4.1,1923,T (3),1891,8.1,1944
20,45.0,1971,25.0,2021,63.2,1942,4.1,1956,T (6),1943 D,8.6,1931
21,44.5,1965,23.4,1991,61.7,1927,4.3,1875 E,T (9),1949,9.0,1995
22,43.9,1886,23.1,1965,60.2,1971,4.4,1982,0.4,1988,9.1,1882
23,43.7,1899,22.9,1960,58.7,1974,4.6,1874,0.5,1916,9.9,1876 E
24,43.7,1921,22.7,1979,58.4,1893,4.7,1977,0.5,1930,10.4,1913
25,43.0,2011 E,22.6,1887,57.7,1872,5.1,1931,0.8,1946,11.2,1936
26,43.0,2024 E,22.1,1964,57.2,1912,5.1,1933,0.8,1963,11.7,1904
27,42.9,1984,20.3,1875 O,55.1,1899,6.4,1887,0.8,2004,12.7,1981
28,42.4,1912,19.8,1874,54.4,1964,6.4,1952,1.0,1881,13.0,1972
29,41.9,1975,19.8,1933,54.1,1948,6.6,1904,1.0,1903,13.2,1922
30,41.7,1906,19.8,1967,53.6,1996,6.6,1920,1.0,1920,13.3,1982
31,-,-,-,-,-,-,6.6,1953,1.0,1941,-,-
