Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,218.0,1985,0.0,-,218.0,1985,3.3,1915,0.0,-,3.3,1915
2,190.8,1993,0.0,-,190.8,1993,4.1,1961,0.0,-,4.1,1961
3,180.6,1876,0.0,-,180.6,1876,6.2,1991,0.0,-,6.2,1991
4,175.5,1884,0.0,-,175.5,1884,8.5,1988,0.0,-,8.5,1988
5,173.5,1962,0.0,-,173.5,1962,12.7,1936,0.0,-,12.7,1936
6,144.4,2010 E,0.0,-,144.4,2010 E,13.0,1955,0.0,-,13.0,1955
7,143.0,1968,0.0,-,143.0,1968,13.8,2017 E,0.0,-,13.8,2017 E
8,140.0,1939,0.0,-,140.0,1939,14.0,1929,0.0,-,14.0,1929
9,138.2,1944,0.0,-,138.2,1944,16.5,1878,0.0,-,16.5,1878
10,136.9,1956,0.0,-,136.9,1956,16.5,1923,0.0,-,16.5,1923
11,132.6,1975,0.0,-,132.6,1975,16.9,1990,0.0,-,16.9,1990
12,128.4,2021,0.0,-,128.4,2021,17.0,1971,0.0,-,17.0,1971
13,127.5,2004,0.0,-,127.5,2004,17.0,1986,0.0,-,17.0,1986
14,125.5,1995,0.0,-,125.5,1995,18.5,1978,0.0,-,18.5,1978
15,123.1,1994,0.0,-,123.1,1994,20.1,1894,0.0,-,20.1,1894
16,120.7,1909,0.0,-,120.7,1909,21.6,1984,0.0,-,21.6,1984
17,120.7,1935,0.0,-,120.7,1935,23.6,1902,0.0,-,23.6,1902
18,119.9,1913,0.0,-,119.9,1913,23.9,1948,0.0,-,23.9,1948
19,115.1,1947,0.0,-,115.1,1947,24.1,1877,0.0,-,24.1,1877
20,115.1,2022,0.0,-,115.1,2022,24.1,1889,0.0,-,24.1,1889
21,110.5,1951,0.0,-,110.5,1951,24.4,1958,0.0,-,24.4,1958
22,109.8,1980,0.0,-,109.8,1980,24.5,2007,0.0,-,24.5,2007
23,109.7,1974,0.0,-,109.7,1974,24.6,1930,0.0,-,24.6,1930
24,107.8,2015,0.0,-,107.8,2015,25.4,1897,0.0,-,25.4,1897
25,107.3,2025,0.0,-,107.3,2025,25.7,1895,0.0,-,25.7,1895
26,105.2,1966,0.0,-,105.2,1966,26.7,1953,0.0,-,26.7,1953
27,104.4,2014,0.0,-,104.4,2014,28.7,1888,0.0,-,28.7,1888
28,103.6,1981,0.0,-,103.6,1981,29.7,1886,0.0,-,29.7,1886
29,103.1,1972,0.0,-,103.1,1972,31.2,2018 E,0.0,-,31.2,2018 E
30,101.9,1880,0.0,-,101.9,1880,32.0,1940,0.0,-,32.0,1940
