Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,23.4,1877,101.3,1909,101.3,1909,0.0,1872,0.5,1877,2.5,1892
2,22.2,1982,68.8,2016,51.8,1955,0.0,1873,1.3,1892,2.8,1899
3,6.9,1941,50.8,1882,50.8,1882,0.0,1875,2.0,1931,3.0,1931
4,6.4,1973,50.0,1955,50.4,2016 E,0.0,1876,2.8,1899,3.8,1954
5,5.8,1987,48.8,1874,48.8,1874,0.0,1878,3.3,1954,4.1,1997
6,4.4,2020,48.3,1879,48.3,1879,0.0,1879,3.6,1939,4.5,2011
7,4.3,1959,47.5,1910,47.5,1910,0.0,1880,4.6,1907,4.6,1907
8,4.1,1939,47.0,1947,47.0,1947,0.0,1881,4.8,1896,5.5,2014 U
9,3.6,1999,46.2,1873,46.2,1873,0.0,1882,5.2,2011,5.5,2023 U
10,3.0,2003 E,45.8,2004,44.5,1895,0.0,1883,5.3,1959,5.7,1983
11,2.8,1980,45.5,1964,43.2,1916,0.0,1884,6.1,1957,5.7,2019 E
12,2.5,1967,44.7,1965,42.9,1915,0.0,1888,6.6,1913,5.8,1971
13,2.5,1970,44.0,2015,41.9,1904,0.0,1893,6.6,2023,6.4,1957
14,2.5,2012,43.2,1895,41.4,1948,0.0,1898,6.9,1986,6.4,1986
15,2.0,1891,43.2,1916,40.9,1949,0.0,1899,7.1,1951,6.6,1913
16,2.0,1896,42.8,1996,40.4,2004 E,0.0,1901,7.1,1971,6.9,1896
17,1.9,2004 E,42.7,1915,40.2,1996,0.0,1903,7.2,2014,7.3,1981
18,1.8,1951,41.9,1904 Z,39.9,1933,0.0,1904,7.3,1997,7.4,1923
19,1.8,1955,41.6,2007,38.4,1956,0.0,1905,7.4,1923,7.4,1943
20,1.8,2023,41.3,2000,38.4,1965,0.0,1906,7.4,1943,7.6,1932
21,1.6,1977,40.6,1948,38.1,1902,0.0,1907,7.6,1932,7.6,1939
22,1.5,1894,40.0,2013,36.8,1929,0.0,1908,8.1,1926,8.0,2017
23,1.5,2005,39.9,1933,36.0,2006,0.0,1909,8.1,1928,8.1,1926
24,1.4,2001,39.6,1949,35.6,1914,0.0,1910,8.8,1980,8.9,1928
25,1.4,2018 E,38.6,1992,35.3,1922,0.0,1912,8.8,1983,8.9,1951
26,1.4,2025 E,38.4,1956,35.1,1889,0.0,1913,9.1,1880,8.9,1968
27,1.3,1892,38.4,2025,34.8,1887,0.0,1914,9.1,1946,9.1,1880
28,1.3,1895,38.1,1902,34.8,1937,0.0,1916,9.1,1952,9.1,1946
29,1.3,1949,37.4,2021,34.3,1942,0.0,1918,9.9,1886,9.1,1952
30,1.0,1925,37.0,2024,33.3,1918,0.0,1919,10.2,1941,9.7,1959
31,1.0,1931,-,-,-,-,0.0,1921,10.2,1987,-,-
32,1.0,1979,-,-,-,-,0.0,1923,-,-,-,-
33,1.0,1996,-,-,-,-,0.0,1932,-,-,-,-
34,1.0,2014,-,-,-,-,0.0,1933,-,-,-,-
35,-,-,-,-,-,-,0.0,1935,-,-,-,-
36,-,-,-,-,-,-,0.0,1960,-,-,-,-
37,-,-,-,-,-,-,0.0,1968,-,-,-,-
38,-,-,-,-,-,-,0.0,1976,-,-,-,-
39,-,-,-,-,-,-,0.0,1983,-,-,-,-
40,-,-,-,-,-,-,0.0,1984,-,-,-,-
41,-,-,-,-,-,-,0.0,1990,-,-,-,-
42,-,-,-,-,-,-,0.0,1998,-,-,-,-
43,-,-,-,-,-,-,0.0,2000,-,-,-,-
44,-,-,-,-,-,-,0.0,2013,-,-,-,-
