Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,208.0,1898,96.5,1919,258.3,1898,12.4,1976,0.8,1939,13.2,1976
2,180.1,1941,89.4,1955,227.7,2019 E,14.8,1938,1.5,1901,38.1,1938
3,179.2,1994,77.7,1958,219.7,1872,16.3,1875,1.5,1976,39.4,2020 E
4,179.0,1977,72.1,1876 E,215.7,1949,19.6,1876,2.8,1928,42.4,1952
5,177.8,1872,69.0,1996,215.2,1926,23.1,1952,3.0,2025,43.7,1948
6,175.8,1949,66.0,1926,212.4,1941,26.2,1909,4.0,1982 PL,44.0,1989
7,174.7,1890,61.8,1875 E,206.8,1977,26.6,2020 E,4.1,1961,46.0,1907
8,173.6,2019 E,61.5,1874,202.7,1959,27.2,1989,4.4,1999,46.9,2001
9,169.4,1959,60.5,1933.0,193.4,1994,29.0,1885,4.6,1943,50.7,1939
10,161.6,1924,60.2,1965.0,192.9,1991,32.0,1907,5.6,1953,50.8,1963
11,159.4,1984,58.5,1985.0,190.8,1945,34.1,1948,6.4,1899,51.0,1909
12,158.2,1954,58.2,1873.0,190.6,1924,37.6,2001,6.8,1981,54.7,2009 E
13,158.2,2008 E,58.0,1893.0,190.2,1954,37.8,1993,6.9,1880,54.9,1979
14,155.0,1915,56.6,2010.0,187.6,1984,39.1,1979,7.1,1890,55.1,1885
15,154.4,1912,54.3,1932.0,181.9,1919,39.4,1963,7.6,1879,55.1,1942
16,153.5,1991,51.8,1995.0,181.8,1890,39.4,1966,7.7,1913,56.0,1964
17,152.6,1927,51.6,1892.0,179.9,1915,41.9,1897,8.1,1877,56.9,1943
18,151.1,1886,51.4,2019.0,179.8,1883,42.0,2003 E,8.1,1968,56.9,1974
19,151.0,2000,50.3,1898.0,173.0,2010 E,42.4,1942,8.3,1998,58.8,2014 E
20,149.1,1926,49.3,1971.0,171.4,1912,42.6,1964,9.4,1990,60.0,1990
21,148.6,1970,48.6,2005.0,170.7,2008 E,45.6,2013 E,9.7,1948,60.7,1897
22,148.5,1945,48.0,1936.0,169.1,1927,45.8,1895,10.0,2024,61.5,1895
23,143.5,1931,47.4,1986.0,169.0,2000,45.8,2009 E,10.2,1937,62.4,1993
24,141.5,2010 E,44.5,1894 Z,168.2,1955,47.0,1974,10.8,2001,63.3,1923
25,138.1,2004,43.7,1883.0,167.0,1886,47.0,1985,10.9,1956,64.0,2013 E
26,137.4,2018 E,43.0,2012.0,165.4,1970,47.3,2014,11.0,2004,64.6,1987
27,136.1,1883,42.9,1946.0,164.3,1931,48.9,1892,11.4,1987,65.8,1966
28,135.1,2025,42.2,1935.0,161.3,1932,50.0,1939,12.7,1923,68.8,1879
29,133.3,1981,42.2,1945.0,160.4,2018 E,50.1,1906,12.7,1942,69.0,2003 E
30,133.1,1900,42.0,1872.0,159.2,1973,50.5,1923,13.2,1963,69.2,1928
31,-,-,-,-,-,-,-,-,13.2,2016,-,-
