Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,26.7,1998,89.9,1881,89.9,1881,0.0,1873,0.2,1993,0.2,1993
2,23.6,2000,64.0,1921,64.0,1921,0.0,1874,2.5,1903,2.5,1903
3,13.5,2009 E,53.8,1873,53.8,1873,0.0,1875,3.8,1935,2.8,2020 E
4,10.2,1958,50.4,2022,50.2,1998,0.0,1876,4.6,1912,3.3,1981
5,9.8,1996 SN,50.0,1962,45.7,1908,0.0,1879,4.6,1928,3.3,2021
6,5.8,1877,47.5,1961,45.0,1938 O,0.0,1880,4.6,1931,3.6,2018
7,5.1,1878,45.0,1938 O,41.7,1961,0.0,1881,4.8,1875,3.6,2025
8,4.0,1984,44.5,1908,40.9,1987,0.0,1883,4.8,1984,3.8,1935
9,3.6,1951,42.2,1987,39.9,1962,0.0,1884,5.1,1900,4.6,1912
10,3.1,1983,39.6,1910,39.6,1910,0.0,1886,5.3,1906,4.6,1928
11,3.0,1930,38.9,1874 O,38.9,1874 O,0.0,1887,5.6,1964,4.6,1931
12,3.0,1999,38.6,1893,38.9,1930,0.0,1888,5.6,1994,4.6,1971
13,2.7,2024 E,38.4,2019,38.6,1893,0.0,1889,5.8,1878 E,4.8,1875
14,2.5,1963,37.6,1939,37.6,1939,0.0,1890,5.8,1958,4.8,1968
15,2.0,1934,37.6,1955,37.6,1955,0.0,1891,5.9,1981,4.8,2023
16,2.0,2011,36.3,1963,36.6,1996 D,0.0,1892,6.0,1989,5.0,2002
17,1.8,1960,35.8,1930,35.6,1936,0.0,1893,6.2,2002,5.0,2006
18,1.5,1895,35.6,1936,34.8,1884,0.0,1894,6.4,1877,5.1,1900
19,1.3,1908,34.8,1884,31.5,1947,0.0,1897,6.4,1916,5.1,1964
20,1.3,1927,31.0,1947,30.7,2022 U,0.0,1898,6.4,1968,5.2,1994
21,1.3,2017 E,30.0,1937,30.0,1895,0.0,1900,6.4,1971,5.3,1906
22,1.0,1997,30.0,1976,30.0,1937,0.0,1901,6.6,1973,5.6,1989
23,0.8,1973,28.4,1895,30.0,2000,0.0,1902,6.6,2018,6.4,1916
24,0.6,1947,27.8,1996 D,29.5,1963,0.0,1903,6.9,1905,6.4,1973
25,0.6,1992,27.2,1887,27.2,1887,0.0,1904,6.9,1907,6.9,1905
26,0.6,2022,27.2,1898,27.2,1898,0.0,1905,7.0,2020,6.9,1907
27,0.5,1885,27.2,1949,27.2,1949,0.0,1906,7.1,1929,7.0,2017
28,0.5,1950,26.9,1915,27.2,1956,0.0,1907,7.2,2025,7.1,1929
29,0.5,1975,26.9,1956,26.9,1915,0.0,1909,7.4,1952,7.2,2005 E
30,0.4,1982,26.4,1953,26.7,1953,0.0,1910,7.6,1941,7.4,1952
31,-,-,-,-,-,-,0.0,1911,-,-,-,-
32,-,-,-,-,-,-,0.0,1912,-,-,-,-
33,-,-,-,-,-,-,0.0,1916,-,-,-,-
34,-,-,-,-,-,-,0.0,1917,-,-,-,-
35,-,-,-,-,-,-,0.0,1918,-,-,-,-
36,-,-,-,-,-,-,0.0,1919,-,-,-,-
37,-,-,-,-,-,-,0.0,1920,-,-,-,-
38,-,-,-,-,-,-,0.0,1922,-,-,-,-
39,-,-,-,-,-,-,0.0,1923,-,-,-,-
40,-,-,-,-,-,-,0.0,1924,-,-,-,-
41,-,-,-,-,-,-,0.0,1925,-,-,-,-
42,-,-,-,-,-,-,0.0,1926,-,-,-,-
43,-,-,-,-,-,-,0.0,1929,-,-,-,-
44,-,-,-,-,-,-,0.0,1931,-,-,-,-
45,-,-,-,-,-,-,0.0,1932,-,-,-,-
46,-,-,-,-,-,-,0.0,1933,-,-,-,-
47,-,-,-,-,-,-,0.0,1935,-,-,-,-
48,-,-,-,-,-,-,0.0,1936,-,-,-,-
49,-,-,-,-,-,-,0.0,1938,-,-,-,-
50,-,-,-,-,-,-,0.0,1939,-,-,-,-
51,-,-,-,-,-,-,0.0,1942,-,-,-,-
52,-,-,-,-,-,-,0.0,1943,-,-,-,-
53,-,-,-,-,-,-,0.0,1944,-,-,-,-
54,-,-,-,-,-,-,0.0,1949,-,-,-,-
55,-,-,-,-,-,-,0.0,1952,-,-,-,-
56,-,-,-,-,-,-,0.0,1955,-,-,-,-
57,-,-,-,-,-,-,0.0,1964,-,-,-,-
58,-,-,-,-,-,-,0.0,1970,-,-,-,-
59,-,-,-,-,-,-,0.0,1972,-,-,-,-
60,-,-,-,-,-,-,0.0,1978,-,-,-,-
61,-,-,-,-,-,-,0.0,1979,-,-,-,-
62,-,-,-,-,-,-,0.0,1980,-,-,-,-
63,-,-,-,-,-,-,0.0,1985,-,-,-,-
64,-,-,-,-,-,-,0.0,2001,-,-,-,-
65,-,-,-,-,-,-,0.0,2014,-,-,-,-
66,-,-,-,-,-,-,0.0,2018,-,-,-,-
67,-,-,-,-,-,-,0.0,2019,-,-,-,-
68,-,-,-,-,-,-,0.0,2020,-,-,-,-
69,-,-,-,-,-,-,0.0,2023,-,-,-,-
