Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,3.8,1944,85.3,1916,85.3,1916,0.0,1873,2.8,1881,2.5,1973
2,3.5,2017 E,58.3,1989,53.8,1907,0.0,1874,2.8,1902,2.8,1881
3,2.5,1909,55.9,2004,52.2,1989,0.0,1875,2.8,1973,2.8,1961
4,1.8,1973,54.4,1969,51.8,1949,0.0,1877,3.8,2008,3.0,1902
5,1.5,1894,53.8,1907,47.8,1893,0.0,1878,4.3,1904,4.3,1904
6,1.5,1940,51.8,1949,47.5,1969,0.0,1880,4.6,1919,4.6,1919
7,1.5,1964,51.6,1975,46.5,1950,0.0,1881,4.6,1961,4.7,2018 E
8,1.5,1968,47.8,1893,45.7,1975,0.0,1882,5.1,1877,5.0,2008
9,1.5,2008,46.5,1950,45.5,1953,0.0,1883,5.1,1905,5.1,1877
10,1.3,1921,45.6,1998,45.0,1899,0.0,1884,5.6,1959,5.1,1905
11,1.3,1947,45.5,1953,43.9,1956,0.0,1885,5.8,1885,5.2,2021
12,1.2,2026,45.0,1899,41.9,1923,0.0,1886,6.4,1875,5.6,1959
13,1.0,1896,43.9,1956,40.9,1935,0.0,1887,6.4,1910,5.6,1965
14,1.0,2006 E,43.8,2011,40.6,1925,0.0,1888,6.6,1931,5.8,1885
15,1.0,2012 E,43.2,2022,40.6,1954,0.0,1889,6.9,1878,6.4,1875
16,0.8,1990,41.9,1923,40.5,2004,0.0,1890,6.9,1922,6.4,1910
17,0.6,1986,40.9,1935,39.9,1889,0.0,1892,7.1,1903,6.6,1931
18,0.6,1997,40.6,1925,39.1,1895,0.0,1893,7.4,1930,6.6,1963
19,0.5,1897,40.6,1954,39.1,1920,0.0,1895,7.6,1912,6.7,2023
20,0.5,1928,40.4,1974,39.1,1974,0.0,1900,8.4,2001 E,6.9,1878
21,0.5,1942,40.2,2013,38.6,1955,0.0,1901,8.9,1927,6.9,1922
22,0.5,1963,39.9,1889,37.1,1947,0.0,1903,8.9,1963,7.1,1903
23,0.5,1974,39.1,1895,36.3,1943,0.0,1904,9.3,1979,7.4,1930
24,0.5,2010 E,39.1,1920,35.5,2005 E,0.0,1905,9.4,1928,7.5,2001
25,0.4,1981,38.6,1955,34.8,1874,0.0,1906,9.5,1988,7.6,1912
26,0.4,1988,37.6,2014,34.5,1938,0.0,1907,9.7,1915,8.9,1927
27,0.4,1991,37.1,1976,34.0,1932,0.0,1908,9.9,1965,8.9,1988
28,0.4,1998,37.0,2002,34.0,1980,0.0,1910,10.2,1926,9.0,1979
29,0.4,2021 E,37.0,2005,33.8,1906,0.0,1911,10.4,1944,9.0,2007 E
30,0.3,1902,36.3,1943,33.0,2011,0.0,1912,10.4,1986,9.4,1966
31,0.3,1914,-,-,-,-,0.0,1913,-,-,-,-
32,0.3,1934,-,-,-,-,0.0,1915,-,-,-,-
33,0.3,1975,-,-,-,-,0.0,1916,-,-,-,-
34,-,-,-,-,-,-,0.0,1917,-,-,-,-
35,-,-,-,-,-,-,0.0,1918,-,-,-,-
36,-,-,-,-,-,-,0.0,1920,-,-,-,-
37,-,-,-,-,-,-,0.0,1922,-,-,-,-
38,-,-,-,-,-,-,0.0,1923,-,-,-,-
39,-,-,-,-,-,-,0.0,1924,-,-,-,-
40,-,-,-,-,-,-,0.0,1925,-,-,-,-
41,-,-,-,-,-,-,0.0,1927,-,-,-,-
42,-,-,-,-,-,-,0.0,1929,-,-,-,-
43,-,-,-,-,-,-,0.0,1930,-,-,-,-
44,-,-,-,-,-,-,0.0,1931,-,-,-,-
45,-,-,-,-,-,-,0.0,1932,-,-,-,-
46,-,-,-,-,-,-,0.0,1933,-,-,-,-
47,-,-,-,-,-,-,0.0,1935,-,-,-,-
48,-,-,-,-,-,-,0.0,1936,-,-,-,-
49,-,-,-,-,-,-,0.0,1937,-,-,-,-
50,-,-,-,-,-,-,0.0,1938,-,-,-,-
51,-,-,-,-,-,-,0.0,1949,-,-,-,-
52,-,-,-,-,-,-,0.0,1950,-,-,-,-
53,-,-,-,-,-,-,0.0,1951,-,-,-,-
54,-,-,-,-,-,-,0.0,1954,-,-,-,-
55,-,-,-,-,-,-,0.0,1955,-,-,-,-
56,-,-,-,-,-,-,0.0,1957,-,-,-,-
57,-,-,-,-,-,-,0.0,1966,-,-,-,-
58,-,-,-,-,-,-,0.0,1971,-,-,-,-
59,-,-,-,-,-,-,0.0,1972,-,-,-,-
60,-,-,-,-,-,-,0.0,1978,-,-,-,-
61,-,-,-,-,-,-,0.0,1979,-,-,-,-
62,-,-,-,-,-,-,0.0,1994,-,-,-,-
63,-,-,-,-,-,-,0.0,2000,-,-,-,-
64,-,-,-,-,-,-,0.0,2002,-,-,-,-
65,-,-,-,-,-,-,0.0,2011,-,-,-,-
66,-,-,-,-,-,-,0.0,2022,-,-,-,-
