Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,197.4,1953,0.0,-,197.4,1953,8.5,2021,0.0,-,8.5,2021
2,193.4,1993,0.0,-,193.4,1993,10.0,2011,0.0,-,10.0,2011
3,181.4,1914,0.0,-,181.4,1914,10.5,2006,0.0,-,10.5,2006
4,168.4,1882,0.0,-,168.4,1882,13.5,1875,0.0,-,13.5,1875
5,164.1,1942,0.0,-,164.1,1942,13.7,1881 E,0.0,-,13.7,1881 E
6,155.2,1912,0.0,-,155.2,1912,15.5,1925,0.0,-,15.5,1925
7,155.2,1962,0.0,-,155.2,1962,16.0,1894,0.0,-,16.0,1894
8,155.0,2005,0.0,-,155.0,2005,17.0,1960,0.0,-,17.0,1960
9,150.3,2001,0.0,-,150.3,2001,19.3,1920,0.0,-,19.3,1920
10,148.3,1994,0.0,-,148.3,1994,20.3,1910,0.0,-,20.3,1910
11,143.8,1968,0.0,-,143.8,1968,22.4,1964,0.0,-,22.4,1964
12,143.5,1958,0.0,-,143.5,1958,23.1,1979,0.0,-,23.1,1979
13,142.5,1890,0.0,-,142.5,1890,23.5,2012,0.0,-,23.5,2012
14,141.0,1904,0.0,-,141.0,1904,23.7,1980,0.0,-,23.7,1980
15,137.7,1893,0.0,-,137.7,1893,25.4,2014,0.0,-,25.4,2014
16,136.7,1897,0.0,-,136.7,1897,27.9,1929,0.0,-,27.9,1929
17,132.6,1930,0.0,-,132.6,1930,29.0,1927,0.0,-,29.0,1927
18,130.1,1987,0.0,-,130.1,1987,29.2,1995,0.0,-,29.2,1995
19,125.7,1922,0.0,-,125.7,1922,29.5,1940,0.0,-,29.5,1940
20,122.9,1973,0.0,-,122.9,1973,29.8,1983,0.0,-,29.8,1983
21,122.6,2000,0.0,-,122.6,2000,32.0,1974,0.0,-,32.0,1974
22,121.2,1873,0.0,-,121.2,1873,33.2,1990,0.0,-,33.2,1990
23,118.0,1986,0.0,-,118.0,1986,33.4,1989,0.0,-,33.4,1989
24,115.1,1971,0.0,-,115.1,1971,33.5,1884,0.0,-,33.5,1884
25,114.5,2009,0.0,-,114.5,2009,33.5,1886 C,0.0,-,33.5,1886 C
26,114.0,2024,0.0,-,114.0,2024,33.8,1902,0.0,-,33.8,1902
27,113.0,1874,0.0,-,113.0,1874,34.0,1985,0.0,-,34.0,1985
28,112.8,1928,0.0,-,112.8,1928,36.1,1939,0.0,-,36.1,1939
29,111.0,1967,0.0,-,111.0,1967,36.8,1976,0.0,-,36.8,1976
30,110.7,1992,0.0,-,110.7,1992,38.3,1984,0.0,-,38.3,1984
