Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,255.8,1901,1.3,1875,255.8,1901,3.3,1961,0.0,-,3.3,1961
2,227.9,1984,0.5,1877,227.9,1984,11.4,1889,0.0,-,11.4,1889
3,217.4,1879,0.3,1969,217.4,1879,12.4,1903,0.0,-,12.4,1903
4,195.3,1877,T (2),1935,195.8,1877,17.8,1974,0.0,-,17.8,1974
5,182.4,1976,T (1),1901 C,182.4,1976,23.0,2025,0.0,-,23.0,2025
6,177.4,2000,T (1),1915,177.4,2000,23.1,1912,0.0,-,23.1,1912
7,171.2,1944,T (1),1937,171.2,1944,24.6,1933,0.0,-,24.6,1933
8,170.4,1952,T (1),1985 PL,170.4,1952,26.3,2019 E,0.0,-,26.3,2019 E
9,160.0,1906,-,-,160.0,1906,28.7,1924,0.0,-,28.7,1924
10,154.9,1898,-,-,154.9,1898,28.7,1931,0.0,-,28.7,1931
11,154.2,2026,-,-,154.2,2026,28.7,1938,0.0,-,28.7,1938
12,150.2,1989,-,-,150.2,1989,29.0,2006,0.0,-,29.0,2006
13,147.1,2014,-,-,147.1,2014,30.8,1886 O,0.0,-,30.8,1886 O
14,143.3,1954,-,-,143.3,1954,33.2,1995,0.0,-,33.2,1995
15,143.1,1990,-,-,143.1,1990,34.8,1929,0.0,-,34.8,1929
16,139.2,1983,-,-,139.2,1983,35.0,2004,0.0,-,35.0,2004
17,137.0,2005,-,-,137.0,2005,35.6,1892,0.0,-,35.6,1892
18,131.2,1991,-,-,131.2,1991,35.8,1966,0.0,-,35.8,1966
19,127.0,1957,-,-,127.0,1957,36.3,1882 O,0.0,-,36.3,1882 O
20,125.7,1919,-,-,125.7,1919,37.1,1914,0.0,-,37.1,1914
21,123.0,2007,-,-,123.0,2007,37.3,1923,0.0,-,37.3,1923
22,120.4,1940,-,-,120.4,1940,39.1,1907,0.0,-,39.1,1907
23,120.1,1975,-,-,120.1,1975,39.1,1909,0.0,-,39.1,1909
24,119.9,1891,-,-,119.9,1891,39.6,1921,0.0,-,39.6,1921
25,119.1,1964,-,-,119.1,1964,42.2,2021,0.0,-,42.2,2021
26,118.6,1955,-,-,118.6,1955,42.9,1948,0.0,-,42.9,1948
27,117.3,1905,-,-,117.3,1905,44.6,1980,0.0,-,44.6,1980
28,116.0,2022,-,-,116.0,2022,44.6,1997 E,0.0,-,44.6,1997 E
29,110.0,1953,-,-,110.0,1953,45.5,1927,0.0,-,45.5,1927
30,107.2,1904,-,-,107.2,1904,45.5,2011,0.0,-,45.5,2011
31,-,-,-,-,-,-,-,-,-,-,-,-
