Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,67.6,1945,76.2,1904,76.2,1904,0.0,1872,0.8,1946,0.6,2019 E
2,59.9,1878,67.8,1909,73.2,1902,0.0,1873,1.0,1938,1.5,1939
3,45.2,2004 C,65.0,1935,72.1,1935,0.0,1875,1.5,1939,2.3,1924
4,42.7,1902,64.3,1898,70.6,1945,0.0,1876,1.5,1961,2.8,1915
5,42.0,2012 E,55.1,1964,67.8,1909,0.0,1881 Z,1.6,2010,3.4,2023 E
6,40.4,1983,54.1,1916,65.6,1983,0.0,1882,1.6,2019,3.6,1875
7,34.5,1942,50.8,1932,65.0,1898,0.0,1883,2.3,1924,3.6,1881 Z
8,34.3,1910,50.5,1944,62.5,1878,0.0,1884 Z,2.4,2017,5.6,1893
9,30.4,2007 E,48.8,1925,59.7,2004,0.0,1885 Z,2.5,1878,6.0,1994
10,27.4,1905,46.5,1908,54.1,1916,0.0,1891,2.5,1915,6.1,1883
11,25.9,1946,46.0,1936,52.0,2012 U,0.0,1899,2.8,1985,6.6,1901
12,25.2,1982,41.4,1894,50.8,1932,0.0,1900,3.0,1945,6.8,1985
13,23.4,1892,40.4,1966,50.5,1944,0.0,1901,3.4,1978,7.1,1911
14,23.4,2000,39.6,1956,50.3,1925,0.0,1909,3.6,1875,7.1,1937
15,20.5,1995,39.1,1890,50.3,1964,0.0,1913,3.6,1881,7.4,1889
16,19.6,1990,39.1,1928,49.3,1942,0.0,1923,4.0,2021,7.6,1912
17,17.8,1896,38.9,1872,48.0,1936,0.0,1924,4.2,1994 C,8.4,1917
18,17.3,1880,38.1,1979,47.0,1896,0.0,1928,4.3,1893,8.9,1958
19,16.0,2006 C,38.0,2009,46.5,1908,0.0,1930,4.3,1977,8.9,2010 E
20,15.9,2016,37.8,1943,45.3,1979,0.0,1932,5.1,1880,9.1,1899
21,15.0,1960,36.8,1971,45.2,1905,0.0,1937,6.1,1883,9.1,1913
22,14.5,1874,36.8,1996 E,43.7,1919,0.0,1956,6.4,1889,9.4,1950
23,13.8,2009 E,36.6,1920,43.7,1971,0.0,2023,6.6,1901,9.7,1886
24,13.1,2017,36.4,2013,43.3,2007 E,T (1),1886,6.9,1933,9.7,1891
25,12.4,1961,34.0,1922,41.9,1910,T (1),1887 O,7.1,1911,9.7,1993
26,11.7,1938,33.3,1897,41.4,1894,T (1),1888 Z,7.1,1937,9.9,1969
27,11.2,2011 E,33.0,1962,40.9,1966,T (1),1890,7.2,2023,9.9,1977
28,10.9,1919,32.8,1919,40.6,1892,T (1),1894 O,7.4,1912,9.9,1998
29,9.7,1953,32.8,1923,40.1,1897,T (1),1904 O,7.6,1910,10.5,2021
30,9.1,1918,30.7,1963,39.6,1956,T (1),1906,7.6,1981,10.7,1954
31,-,-,-,-,-,-,T (1),1908,-,-,-,-
32,-,-,-,-,-,-,T (1),1911,-,-,-,-
33,-,-,-,-,-,-,T (1),1916,-,-,-,-
34,-,-,-,-,-,-,T (1),1917,-,-,-,-
35,-,-,-,-,-,-,T (1),1940,-,-,-,-
36,-,-,-,-,-,-,T (1),1943,-,-,-,-
37,-,-,-,-,-,-,T (1),1944,-,-,-,-
38,-,-,-,-,-,-,T (1),1947,-,-,-,-
39,-,-,-,-,-,-,T (1),1950,-,-,-,-
40,-,-,-,-,-,-,T (1),1951,-,-,-,-
41,-,-,-,-,-,-,T (1),1952,-,-,-,-
42,-,-,-,-,-,-,T (1),1954,-,-,-,-
43,-,-,-,-,-,-,T (1),1955,-,-,-,-
44,-,-,-,-,-,-,T (1),1958,-,-,-,-
45,-,-,-,-,-,-,T (1),1963,-,-,-,-
46,-,-,-,-,-,-,T (1),1969,-,-,-,-
47,-,-,-,-,-,-,T (1),1980,-,-,-,-
48,-,-,-,-,-,-,T (1),2014,-,-,-,-
