Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,177.7,1977,32.5,1931,177.7,1977,0.8,1917,0.0,-,0.8,1917
2,166.2,2022,29.0,2002,166.2,2022,2.8,1900,0.0,-,2.8,1900
3,160.0,2010,24.4,1890,162.1,1911,4.3,1888,0.0,-,4.6,1888
4,158.0,1911,23.1,1967,160.0,2010,5.6,1967,0.0,-,7.4,1925
5,155.2,1974,22.0,2004,156.0,1974,7.0,1980,0.0,-,7.8,1980
6,135.1,1896,15.2,1882,135.1,1896,7.4,1925,0.0,-,9.1,1901
7,133.9,1933,13.7,1905,134.0,2004,7.9,1901,0.0,-,9.4,1952
8,131.6,1962,8.9,1968,133.9,1933,9.4,1952,0.0,-,9.9,1961
9,125.5,1880,8.6,1950,132.3,1962,9.9,1924,0.0,-,10.2,1924
10,122.6,1978,8.4,1938,125.5,1880,9.9,1961,0.0,-,10.4,1976
11,121.2,1877,8.3,1979,122.6,1978,10.4,1976,0.0,-,10.7,1958
12,119.4,1927,6.6,1953,121.2,1877,10.7,1958,0.0,-,13.5,1913
13,116.1,1959,6.1,1885,119.9,1953,13.5,1913,0.0,-,14.7,1894
14,114.7,2024,6.1,1907,119.4,1927,14.7,1894,0.0,-,14.7,1946
15,113.3,1953,5.8,1954,117.6,1959,14.7,1946,0.0,-,16.0,1934
16,110.5,2001,5.1,1876,117.3,1950,16.0,1934,0.0,-,18.5,1932
17,108.7,1950,4.8,1963,114.7,2024,18.0,1915,0.0,-,19.2,2026
18,104.1,1930,4.8,1991,110.5,2001,18.5,1907,0.0,-,19.8,1992
19,103.1,1973,4.1,1911,104.4,1930,18.5,1932,0.0,-,20.5,2023
20,101.5,2004 E,4.1,1943,103.1,1973,18.9,2026,0.0,-,20.6,1918
21,100.0,1998,4.1,1966,100.0,1998,19.1,1926,0.0,-,20.8,1915
22,98.3,1902,3.2,2008,99.1,1968,19.8,1947,0.0,-,21.1,1926
23,97.5,2012 E,3.0,1972,98.3,1902,19.8,1992,0.0,-,21.6,1947
24,97.0,1999,2.8,1915,97.5,2012 E,20.5,2023,0.0,-,22.1,1884
25,93.5,1895,2.8,1916,97.0,1999,20.6,1918,0.0,-,22.6,1898
26,91.9,1941,2.8,1975,95.0,1895,20.8,1891,0.0,-,23.3,1982
27,91.2,1912,2.5,1891,93.1,1979,22.1,1882,0.0,-,23.4,1891
28,90.4,1965,2.5,1949,91.9,1941,22.1,1884,0.0,-,23.9,1936
29,89.7,1968,2.5,2015,91.4,1965,22.1,1938,0.0,-,24.3,2020 E
30,86.4,1903,2.0,1926,91.2,1912,22.6,1898,0.0,-,24.6,1907
31,-,-,2.0,1997,-,-,-,-,0.0,-,24.6,1951
32,-,-,-,-,-,-,-,-,0.0,-,24.6,2017
