Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,62.2,1918,80.3,1955,90.2,1955,0.0,1873,T (1),1928,0.8,1976
2,60.5,2024 E,77.2,1958,81.3,1958,0.0,1883 Z,0.5,1939,1.5,1901
3,57.0,2000,62.8,1996,77.0,1918,0.0,1889,1.0,1987,1.5,1939
4,45.2,1922,60.7,1874,75.0,2000,0.0,1897,1.4,2009,1.5,2009
5,42.2,1928,60.2,1965,64.1,2024,0.0,1903,1.5,1901,2.8,1912
6,38.6,1956,57.9,1919,64.0,1874,0.0,1919,1.5,1976,3.8,1968
7,36.1,1962,57.7,1893,61.5,1922,0.0,1929,2.5,1912,4.3,1961
8,32.0,2008 E,56.9,1876 O,61.0,1932,0.0,2009,2.5,1981,4.9,2020 E
9,24.6,1944,55.6,2010,59.4,1893,T (1),1872,2.8,1916,4.9,2025
10,22.9,1948,51.8,1932,58.4,1996,T (1),1880,3.0,2025,5.0,1998
11,22.0,1994,51.6,1892,57.9,1919,T (1),1881,3.2,1982,5.3,1943
12,17.6,1984,50.0,1995,57.4,1892,T (1),1886,4.1,1913,5.6,1917
13,15.7,1923,48.3,1898,57.2,1876 O,T (1),1887,4.1,1961,5.6,1974
14,15.0,1913,47.4,1986,54.6,1962,T (1),1891,4.4,1999,5.7,1982
15,14.2,1970,44.5,1894,50.8,1898,T (1),1896,4.6,1943,5.8,1925
16,13.7,1990,44.3,1985,49.0,1956,T (1),1901,5.1,1877,5.8,1953
17,12.2,1895,43.7,1933,48.4,1986,T (1),1910 O,5.3,1925,5.9,1981
18,11.7,1937,42.7,1926,47.5,1894,T (1),1917 O,5.3,1968,6.2,1999
19,11.0,1987,41.6,2005,47.5,1906,T (1),1926,5.6,1917,6.9,1880
20,10.7,1954,39.8,1992,46.5,1944,T (1),1959,5.6,1953,8.1,1904
21,10.2,1882,39.8,2012,44.6,1995,T (1),1995,5.8,1878,8.1,1916
22,10.0,2023 E,38.1,1903,44.5,2008,T (2),1933 O,6.4,1899,9.1,1878
23,9.9,1906,37.6,1906,44.2,1965,T (2),1935,6.9,1880,9.4,1969
24,9.9,1955,37.1,1973,43.9,1985,T (2),1996,7.1,1890,9.7,2018 E
25,9.7,2015 E,36.4,1978,43.7,1933,T (3),1968,7.1,1923,10.4,1972
26,9.5,2002,35.6,1930,43.0,2005,T (3),1976,7.6,1879,10.5,2004 E
27,9.4,1920,35.6,1945,42.7,1926,T (4),1904,7.8,1990,10.9,1890
28,9.1,1877 C,33.3,1896,42.6,1978,T (4),2018,8.1,1904,11.0,2003 E
29,9.1,1932,32.3,1910,42.2,1928,T (5),1946 D,8.3,1998,11.2,1987
30,9.0,2005,31.8,1883,40.1,1973,T (7),1965,8.6,1952,11.6,2007 E
