Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,142.0,1898,38.6,1919,144.0,1898,0.3,1933,0.0,1879,2.5,1976
2,128.0,1949,36.6,2019,144.0,1949,0.5,1936,0.0,1900,2.8,1992
3,93.7,2025,32.3,1875,99.0,1984,0.8,1876,0.0,1914,4.9,2014
4,93.2,1890,30.5,1971,98.0,1883,1.0,1992,0.0,1924,5.3,1906
5,87.6,1994,25.9,1888,96.3,1882,1.3,1875,0.0,1940,5.3,1920
6,86.4,1984,24.9,1936,93.7,2025,1.8,1906,0.0,1944,5.3,1974
7,86.1,1882,24.6,1878,93.2,1890,2.5,1976,0.0,1947,5.8,1964
8,86.1,1883,24.6,1916,87.6,1994,3.0,1919,0.0,1963,6.9,1874
9,80.5,1927,23.6,1925,87.4,1959,3.0,2003 E,0.0,1965,8.1,1939
10,73.9,1930,23.4,1873,80.5,1927,3.3,1974,0.0,2011 ^,8.4,1895
11,72.1,1959,21.6,2023,79.4,2023 U,4.5,2002,0.0,2024,8.8,1990
12,69.7,1997,21.3,1884,77.0,1926,4.6,1895,T (1),1892,8.9,1942
13,69.3,1940,20.8,1926,76.5,1930,4.9,2014,T (1),1902,9.9,1948
14,68.6,1924,20.1,1917,74.1,1991,5.1,1952,T (1),1908 O,10.2,1907
15,65.4,2023,19.4,2006,72.1,1971,5.3,1920,T (1),1920 C,10.2,1938
16,64.1,2016,19.3,1935,72.0,1997,5.8,1873,T (1),1921,10.2,1978
17,61.4,1982,19.1,1941,69.3,1940,5.8,1964,T (1),1931 O,10.7,1928
18,59.2,1998,16.8,1933,68.6,1924,5.9,2020,T (1),1934,10.7,1934
19,57.6,1981,16.8,1991,67.6,1888 D,6.1,1874,T (1),1948,10.8,2024 E
20,57.3,1991,16.5,1946,64.1,2016,6.4,1887,T (1),1977,11.2,2013 E
21,56.4,1914,16.3,2003,62.4,2012 U,6.4,1938,T (1),1998,11.4,1887
22,56.1,1908,16.0,1949,62.0,1982,7.1,1923,T (1),2008,11.6,1986
23,56.1,1926,15.2,1876,60.1,2019 U,7.1,1942,T (1),2014,11.7,1901
24,54.1,2012 E,15.2,1959,59.6,1981,7.2,1990,T (1),2015,11.7,1943
25,52.6,1931,15.2,1972,59.2,1998,7.9,1939,T (1),2016,12.7,1923
26,51.1,1956,14.5,1912,58.9,1916,8.4,1885,T (1),2021,13.0,1922
27,49.8,1932,14.4,2020,57.9,1878,8.4,1922,T (1),2025,13.2,1909
28,49.5,2004 E,14.3,2002,56.4,1914,8.4,1928,T (2),1880 WFP,13.9,2001
29,49.2,2008 E,14.2,1985,56.1,1908,9.4,1978,T (2),1901 O,14.5,1965
30,48.9,2021,13.5,1950,52.6,1931,9.5,2006 E,T (2),1903 O,15.0,1885
31,-,-,-,-,-,-,-,-,T (2),1907,-,-
32,-,-,-,-,-,-,-,-,T (2),1927,-,-
33,-,-,-,-,-,-,-,-,T (2),1937,-,-
34,-,-,-,-,-,-,-,-,T (2),1953,-,-
35,-,-,-,-,-,-,-,-,T (2),1956,-,-
36,-,-,-,-,-,-,-,-,T (2),1994,-,-
37,-,-,-,-,-,-,-,-,T (2),2000,-,-
