Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,153.1,2019,18.3,1872,156.2,1872,1.3,1948,0.0,-,1.3,1948
2,149.6,1941,10.9,1934,153.1,2019,4.0,2012,0.0,-,4.0,2012
3,148.2,1977,6.6,1984,149.6,1941,6.1,1938,0.0,-,6.1,1938
4,139.4,1912,5.8,1908,148.2,1977,8.6,1897,0.0,-,8.6,1897
5,137.9,1872,5.6,1873,139.4,1912,9.9,1976,0.0,-,9.9,1976
6,129.5,1945,2.8,1974,131.1,1945,10.0,1989,0.0,-,10.0,1989
7,124.2,1915,2.5,1926,124.2,1915,10.6,1998,0.0,-,10.6,1998
8,119.9,1886,2.5,1951,120.7,1886,12.6,2021,0.0,-,12.6,2021
9,116.3,1954,1.5,1945,116.3,1954,13.0,1875,0.0,-,13.0,1875
10,113.0,2018 E,0.8,1886,115.3,2018,13.2,1952,0.0,-,13.2,1952
11,112.0,1970,0.8,1947,112.0,1970,15.2,1909,0.0,-,15.2,1909
12,107.2,1900,0.8,1972,110.2,1934,15.7,1918,0.0,-,15.7,1918
13,99.3,1934,0.6,2018,107.2,1900,15.7,1928,0.0,-,15.7,1962
14,97.3,1959,0.5,1928,97.3,1959,15.7,1962,0.0,-,16.0,1963
15,96.5,1901,0.5,1942,96.5,1901,16.0,1963,0.0,-,16.3,1928
16,95.8,1884,0.5,1956,95.8,1884,16.5,1879,0.0,-,16.5,1879
17,94.2,1880,0.4,1981,95.5,1926,16.5,1893,0.0,-,16.8,1893
18,93.0,1926,0.3,1893,94.2,1880,17.5,1907,0.0,-,17.5,1907
19,93.0,2010,T (3),1939,93.0,2010,18.0,1966,0.0,-,18.0,1966
20,92.5,1924,T (2),1959,92.5,1924,18.5,1876,0.0,-,18.5,1876
21,92.2,1921,T (2),1965,92.2,1921,18.8,1885,0.0,-,18.8,1885
22,89.4,1991,T (2),1995,89.4,1991,19.3,1956,0.0,-,19.4,2020 E
23,85.6,1980,T (1),1878,85.6,1980,19.4,2020 E,0.0,-,19.8,1956
24,84.6,1920,T (1),1900,84.6,1920,20.0,1987,0.0,-,20.0,1987
25,84.6,2004,T (1),1901,84.6,2004,20.3,1958,0.0,-,20.3,1958
26,82.6,1978,T (1),1904,82.6,1978,20.8,1947,0.0,-,21.6,1947
27,82.3,1919,T (1),1907,82.3,1919,21.8,1892,0.0,-,21.8,1892
28,82.0,1931,T (1),1916,82.0,1931,22.2,2001,0.0,-,22.2,2001
29,82.0,1973,T (1),1925 WFP,82.0,1973,22.4,1993,0.0,-,22.4,1993
30,81.8,1946,T (1),1927,81.8,1946,22.5,2009,0.0,-,22.5,2009
31,81.8,1950,T (1),1944,81.8,1950,-,-,-,-,-,-
32,-,-,T (1),1955,-,-,-,-,-,-,-,-
33,-,-,T (1),1958,-,-,-,-,-,-,-,-
34,-,-,T (1),1961,-,-,-,-,-,-,-,-
35,-,-,T (1),1975,-,-,-,-,-,-,-,-
36,-,-,T (1),1983,-,-,-,-,-,-,-,-
37,-,-,T (1),1985,-,-,-,-,-,-,-,-
38,-,-,T (1),1991,-,-,-,-,-,-,-,-
39,-,-,T (1),1996,-,-,-,-,-,-,-,-
40,-,-,T (1),2003,-,-,-,-,-,-,-,-
