Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,291.1,1896,104.6,1909,325.4,1896,4.4,1917,1.6,1946,14.8,1917
2,267.6,2022 E,83.4,1872,305.3,2022 U,7.0,1980,3.0,1939,21.0,1980
3,219.4,1878,81.6,1966,234.5,1911,10.4,1900,3.6,2010,27.7,1900
4,207.0,1911,81.3,1904,231.4,1878,15.8,1952,4.6,1881,32.2,1952
5,206.0,1974,77.2,1964,229.9,1974,17.8,1888,5.3,1915,33.0,1913
6,202.1,2010 E,75.2,1999 PL,217.0,2004,18.5,1907,5.7,1977,41.2,1926
7,189.7,1977,74.8,1996,211.9,1979,20.4,1926,6.4,2019,43.0,2023 U
8,174.8,1927,69.6,1935,206.6,2010 E,22.1,1913,6.8,1978,45.7,1987
9,174.0,2012 E,69.1,1890,205.3,1902,25.7,1882,8.4,2017,48.2,2019 E
10,169.0,2004 E,69.1,1979,193.3,1927,28.2,1936,9.1,1961,50.1,1958
11,158.3,2024 E,67.3,1894,192.8,1977,28.7,1958,9.2,1981,54.9,1988
12,155.2,1902,66.1,1970,191.0,1953,29.2,2023,9.3,2000,56.0,2025 E
13,150.2,1963,66.0,1997,184.0,2012 E,33.8,1987,9.7,1886,56.9,1915
14,150.2,1978,64.3,1898,179.5,1962,34.5,1988,10.4,1901,57.7,1946
15,144.1,1933,63.7,1967,179.3,1970,34.8,2020 E,10.4,1917,58.0,1881
16,142.8,1880,63.5,1884,175.6,1991,35.1,1909,10.8,2007,58.8,2020 E
17,141.0,1962,61.5,1953,174.7,1963,37.3,1925,10.9,1913,59.5,1883 O
18,138.6,1998,60.0,1908,172.3,2024 U,37.5,2019 E,10.9,1969,61.8,1891
19,138.5,1979,59.6,1907,172.0,1996,39.1,1931,11.0,1993,61.9,1989
20,137.2,1877,58.9,1950,170.7,1933,39.2,1934,11.5,1889,62.0,1873
21,134.9,1965,58.8,2002 E,170.1,1950,40.7,1989,11.6,1985 Z,62.1,1972
22,133.9,1912,57.4,1916,169.7,1965,41.4,1972,11.7,1973,62.9,1949
23,131.6,1879,56.0,1991 C,168.3,1999,41.7,2025 E,11.9,1878,63.7,1939
24,131.4,1959,54.9,1936,167.5,1908,41.9,1932,12.2,1891,64.2,1882
25,130.6,1945,54.6,1932,167.0,1880,42.6,1951,12.2,1895,64.7,1901
26,130.4,2016,54.4,2022,164.9,1877,42.9,1949,12.6,1987,64.8,1976
27,129.6,1953,53.9,1931,160.0,1959,43.4,1976,12.9,1998,65.1,1888
28,128.6,2001 E,53.1,1971,159.5,2001,43.5,1883 O,13.4,1994 C,66.3,1951
29,126.5,1942,52.8,2013,156.8,1978,43.7,1947,14.0,1906,66.6,1961
30,126.2,1973,50.8,1944,156.7,2016 E,44.2,1938,14.4,1980,67.3,1938
