Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,463.0,1993,1.3,1875,463.0,1993,76.7,1929,0.0,-,76.7,1929
2,382.3,1962,0.5,1877,382.3,1962,91.0,1961,0.0,-,91.0,1961
3,378.2,1901,0.3,1969,378.2,1901,91.5,2006,0.0,-,91.5,2006
4,369.6,1968,T (2),1935,369.6,1968,92.0,2011 E,0.0,-,92.0,2011 E
5,367.3,2000,T (1),1901 C,367.3,2000,94.0,1886 C,0.0,-,94.0,1886 C
6,351.4,1994,T (1),1915,351.4,1994,96.0,1889,0.0,-,96.0,1889
7,349.5,1879,T (1),1937,349.5,1879,97.1,1894,0.0,-,97.1,1894
8,349.5,1944,T (1),1985 PL,349.5,1944,104.6,1881 E,0.0,-,104.6,1881 E
9,345.5,2005,-,-,345.5,2005,114.8,1915,0.0,-,114.8,1915
10,336.6,1876 E,-,-,335.6,1876,121.4,1936,0.0,-,121.4,1936
11,334.1,1953,-,-,334.1,1953,128.5,2012 E,0.0,-,128.5,2012 E
12,319.4,1985,-,-,319.4,1985,130.6,1978,0.0,-,130.6,1978
13,316.9,2022,-,-,316.9,2022,133.5,2018 E,0.0,-,133.5,2018 E
14,313.0,1873,-,-,313.0,1873,135.2,1910,0.0,-,135.2,1910
15,310.9,1975,-,-,310.9,1975,136.6,2017 E,0.0,-,136.6,2017 E
16,303.0,1919,-,-,303.0,1919,139.4,1924,0.0,-,139.4,1924
17,299.8,2001,-,-,299.8,2001,140.7,1903,0.0,-,140.7,1903
18,291.6,1942,-,-,291.6,1942,144.0,1923,0.0,-,144.0,1923
19,289.3,1904,-,-,289.3,1904,145.3,1902,0.0,-,145.3,1902
20,287.8,1984,-,-,287.8,1984,146.9,1927,0.0,-,146.9,1927
21,284.7,1884,-,-,284.7,1884,148.9,1920,0.0,-,148.9,1920
22,284.5,1928,-,-,284.5,1928,150.9,1960,0.0,-,150.9,1960
23,284.4,2010 E,-,-,284.4,2010 E,151.6,1925,0.0,-,151.6,1925
24,283.3,1947,-,-,283.3,1947,157.7,1933,0.0,-,157.7,1933
25,282.5,1890,-,-,282.5,1890,158.2,1931,0.0,-,158.2,1931
26,282.4,1987,-,-,282.4,1987,159.0,1946,0.0,-,159.0,1946
27,279.4,1906,-,-,279.4,1906,159.5,1974,0.0,-,159.5,1974
28,278.1,1956,-,-,278.1,1956,163.8,1887,0.0,-,163.8,1887
29,278.1,1976,-,-,278.1,1976,164.3,1979,0.0,-,164.3,1979
30,276.9,2014,-,-,276.9,2014,165.5,2003 E,0.0,-,165.5,2003 E
