Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,28.5,1877/78,147.3,1909/10,147.3,1909/10,0.0,1872/73,13.2,1877/78 O,16.3,2017/18 E
2,27.2,1999/00,134.4,1915/16,134.6,1915/16,0.0,1873/74,21.9,1876/77,23.5,2019/20 E
3,27.1,1997/98,131.0,2021/22,122.9,1955/56,0.0,1879/80,23.1,1957/58,25.3,2020/21
4,25.5,1982/83,120.8,1955/56,120.4,1948/49,0.0,1880/81,25.6,1926/27,25.9,1983/84
5,13.5,2008/09 E,119.9,1873/74 O,119.9,1873/74 O,0.0,1882/83,26.2,1930/31,26.2,1930/31
6,10.5,1957/58,119.6,1948/49,114.3,1937/38 O,0.0,1883/84,27.2,1911/12,26.9,1926/27
7,9.8,1995/96 SN,116.5,1961/62,113.0,1920/21,0.0,1888/89,27.4,1901/02,27.2,1911/12
8,7.4,1941/42,114.3,1937/38 O,104.9,1949/50,0.0,1899/00,27.6,1928/29,27.4,2023/24 U
9,7.2,1973/74,111.7,1920/21,103.4,1922/23,0.0,1903/04,28.5,1923/24,27.6,1901/02
10,6.5,1987/88,109.8,2016/17,101.8,1880/81,0.0,1904/05,29.8,1983/84,27.7,1876/77
11,6.1,1959/60,103.1,1949/50,93.5,1916/17,0.0,1905/06,30.7,1987/88 C+PL,28.4,1928/29
12,5.8,1876/77,102.9,1922/23,92.7,1906/07,0.0,1906/07,30.8,1927/28,28.5,1923/24
13,5.6,1939/40,101.8,1880/81,92.7,1961/62,0.0,1909/10,32.5,1959/60,29.1,2011/12 E
14,4.8,2016/17 E,101.6,2013/14,89.1,1942/43,0.0,1910/11,33.2,2017/18,29.1,2014/15 E
15,4.8,2020/21 E,98.7,2003/04,88.9,1892/93,0.0,1916/17,33.3,1939/40,31.0,2022/23 E
16,4.7,2023/24 E,93.5,1916/17,87.9,1872/73,0.0,1919/20,34.6,1899/00,31.3,1927/28
17,4.0,1967/68,92.8,2004/05,87.7,1938/39,0.0,1921/22,34.6,1951/52,32.2,1971/72
18,4.0,1983/84,92.7,1906/07,87.2,1935/36,0.0,1923/24,35.1,1943/44,32.2,1993/94
19,3.8,1943/44,90.9,1988/89 C,86.3,1997/98,0.0,1932/33,37.1,1972/73,33.0,2024/25 U
20,3.8,1962/63,88.9,1974/75,84.4,1882/83,0.0,1935/36,37.9,1977/78,33.6,1957/58
21,3.6,1950/51,88.6,1942/43,83.6,1894/95,T (1),1874/75,38.4,1921/22,33.7,2002/03 E
22,3.5,1929/30,87.9,1872/73,83.1,1929/30,T (1),1875/76 O,39.1,1971/72,34.2,1987/88
23,3.2,1980/81,87.7,1892/93,83.1,1933/34,T (1),1878/79,39.1,1980/81,34.3,1972/73
24,3.2,1998/99,87.7,1938/39,83.1,2004/05 E,T (1),1881/82,40.6,1985/86,34.6,1899/00
25,3.0,1894/95,87.2,1935/36,81.8,1898/99,T (1),1885/86,40.6,1925/26,36.4,1951/52
26,3.0,2003/04 E,85.9,1975/76,81.4,1895/96,T (1),1886/87 O,41.1,1941/42,36.5,1985/86
27,2.9,1972/73,85.0,2015/16,81.3,1879/80,T (1),1887/88,41.6,1993/94,36.6,1977/78
28,2.8,1970/71,84.6,2018/19,81.3,1952/53,T (1),1889/90,42.0,1982/83,37.5,1980/81
29,2.6,1996/97,84.4,1882/83,80.3,1956/57,T (1),1900/01,44.2,2011/12,38.4,1921/22
30,2.5,1896/97,84.4,2005/06,80.3,1988/89,T (1),1902/03,44.4,2014/15,38.6,1959/60
31,-,-,-,-,-,-,T (1),1911/12,-,-,-,-
32,-,-,-,-,-,-,T (1),1917/18,-,-,-,-
33,-,-,-,-,-,-,T (1),1934/35,-,-,-,-
34,-,-,-,-,-,-,T (1),1937/38,-,-,-,-
35,-,-,-,-,-,-,T (1),1978/79,-,-,-,-
36,-,-,-,-,-,-,T (1),1984/85,-,-,-,-
