Rank,Wettest Rainfall,,Wettest Snowfall,,Wettest Precip,,Driest Rainfall,,Driest Snowfall,,Driest Precip,
1,660.2,2022 E,266.1,1909,792.0,2022 U,206.8,1936,48.3,1877,304.8,2020 E
2,633.5,1977,243.8,1955,723.3,1962,223.5,2006 E,58.5,1981,320.9,1961
3,628.5,2010 E,242.2,1996,718.4,1953,229.6,1881 E,59.8,1913,337.0,2006 E
4,621.6,2000,226.2,1874 O,715.0,1977,232.8,1961,63.6,1886,342.8,2017 E
5,612.1,1994 C,219.7,1916,708.0,2010 E,235.3,1938,65.1,1939,349.9,1917
6,590.7,1962,203.0,2022 E,701.6,2000,237.8,2020 E,66.3,1901,362.1,1952
7,586.6,1968,202.0,1893,690.6,1898,248.1,1889,69.4,1927,364.1,1929 C
8,568.7,1953,197.9,1873,682.5,2004 E,248.5,1917,70.1,1928,373.4,2023 E
9,561.6,1993,184.8,1936,677.5,1994 C,252.4,1929,71.1,1912,374.7,1881 E
10,558.4,1896,184.2,1950,673.8,1996,261.0,1925,71.8,1993,379.8,1889
11,555.1,1959,183.6,1884,668.1,1896,262.9,1923,72.4,1952,380.7,1988
12,542.3,1879,180.9,1935,660.3,1954,281.2,1875 E,73.2,1994 C,382.9,1886 C
13,540.8,1901,179.9,1898,653.0,1879 O,283.2,1894,74.8,1982 PL,390.1,2011 E
14,539.6,2024 E,178.5,1949,652.9,1959,285.3,1988,75.2,1880,391.2,1938 O
15,538.5,2004 E,178.1,1894 Z,652.1,1968,287.1,2017 E,75.6,1878 E,391.6,1936
16,535.4,1973,177.3,1965,639.6,1884,289.8,1907,75.8,1968,393.2,1990
17,531.8,1954,172.5,1919,638.3,1919,289.8,1952,76.2,1973,393.9,2021 E
18,529.6,1877 O,171.6,2004,635.7,2005 E,291.6,1960,83.0,1951,395.9,1960
19,528.3,1941,171.1,1932,632.7,1890,294.0,1920,84.0,1978,396.1,2018 E
20,526.5,1984,169.6,1962,624.9,1941,298.1,1887,84.3,1946,398.4,2025 E
21,518.5,2005 E,169.0,1933,621.3,1993,300.6,1948,84.4,2001 E,398.9,1923
22,511.1,1890,168.4,1904 Z,618.1,1991,307.3,1888,85.4,1900,401.5,1913
23,510.8,1898,168.2,2013,617.9,1944,307.3,1980,87.4,1987 C+PL,403.8,1951
24,508.3,1912,167.7,1910 C,614.3,1916,308.9,1990,87.9,1931,404.4,1948
25,507.9,1880,167.7,1964,613.2,1873,309.2,2011 E,88.8,1977,405.3,1980
26,504.4,1911,163.7,1970,607.8,1893,312.3,1910 C,89.5,1924,407.9,1875 E
27,500.4,1944,162.5,1956,607.0,1901,314.1,1966,89.6,2017,408.6,1925
28,493.8,1878 O,161.4,1947,606.4,1984,314.2,1885,89.8,1983,412.0,2003 E
29,480.7,1975,161.0,1991 C,603.8,1956,314.3,2021 E,89.9,1911 E,415.2,1946
30,475.6,1927,157.5,1887,601.6,1973,315.0,2003 E,90.4,2025,419.0,1939
31,-,-,157.5,1921,-,-,-,-,-,-,-,-
